SI. No.,Region,x_111,x_110,x_101,x_011,x_100,x_010,x_001,x_0,,Female Population Size(15-49 years)
1,Ahafo,23,6,1,1,38,15,54,138,,571929
2,Ashanti ,174,14,41,16,161,231,319,956,,637629
3,Bono,134,34,7,5,70,69,248,567,,1487470
4,Bono East,54,1,5,13,16,12,115,216,,459072
5,Central,175,93,34,13,176,106,264,861,,811662
6,Eastern,108,120,10,9,93,117,303,760,,1559605
7,Greater Accra,448,220,83,22,371,538,690,2372,,245102
8,North East,4,2,1,0,23,8,60,98,,153596
9,Northern,76,1,19,5,36,46,114,297,,293073
10,Oti,23,1,17,13,33,10,126,223,,284288
11,Savannah,1,6,2,3,1,13,50,76,,182359
12,Upper East,40,1,11,4,40,38,109,243,,463527
13,Upper West,11,1,3,1,10,14,116,156,,141398
14,Volta,16,29,8,8,30,32,147,270,,140030
15,Western,42,93,4,8,119,181,511,958,,300157
16,Western North,5,10,0,0,1,16,34,66,,204319
